Node,Mode_rating_given_by_-10_positive_10,Mode_rating_given_by_all_positive_10,Mode_rating_given_by_-10_negative_10,Mode_rating_given_by_all_negative_10
13,10,1,-10,1
25,10,10,-10,10
64,10,1,-10,1
135,10,1,-10,1
242,10,1,-10,1
270,10,1,-10,1
309,10,1,-10,1
361,10,1,-10,1
481,10,1,-10,1
492,10,1,-10,1
499,10,1,-10,1
523,10,1,-10,1
546,10,1,-10,1
566,10,1,-10,1
570,10,1,-10,1
571,10,1,-10,1
710,10,1,-10,1
732,10,2,-10,2
770,10,2,-10,2
777,10,1,-10,1
832,10,3,-10,3
894,10,1,-10,1
905,10,1,-10,1
1094,10,1,-10,1
1140,10,-10,-10,-10
1201,10,2,-10,2
1207,10,1,-10,1
1257,10,1,-10,1
1271,10,1,-10,1
1277,10,1,-10,1
1318,10,1,-10,1
1334,10,1,-10,1
1352,10,1,-10,1
1363,10,-10,-10,-10
1383,10,-10,-10,-10
1386,10,1,-10,1
1403,10,1,-10,1
1543,10,-10,-10,-10
1566,10,1,-10,1
1600,10,-10,-10,-10
1656,10,1,-10,1
1675,10,1,-10,1
1701,10,1,-10,1
1744,10,1,-10,1
1771,10,1,-10,1
1810,10,1,-10,1
1839,10,5,-10,5
1953,10,1,-10,1
1967,10,1,-10,1
2017,10,-10,-10,-10
2028,10,1,-10,1
2045,10,1,-10,1
2067,10,1,-10,1
2080,10,1,-10,1
2173,10,1,-10,1
2198,10,1,-10,1
2214,10,1,-10,1
2266,10,1,-10,1
2296,10,1,-10,1
2370,10,2,-10,2
2388,10,1,-10,1
2498,10,-10,-10,-10
2548,10,-10,-10,-10
2567,10,-10,-10,-10
2570,10,-10,-10,-10
2571,10,-10,-10,-10
2574,10,-10,-10,-10
2601,10,-10,-10,-10
2628,10,-10,-10,-10
2629,10,-10,-10,-10
2631,10,-10,-10,-10
2632,10,-10,-10,-10
2634,10,-10,-10,-10
2635,10,1,-10,1
2647,10,1,-10,1
2661,10,1,-10,1
2666,10,-10,-10,-10
2669,10,-10,-10,-10
2671,10,-10,-10,-10
2672,10,-10,-10,-10
2674,10,-10,-10,-10
2676,10,-10,-10,-10
2680,10,-10,-10,-10
2682,10,-10,-10,-10
2683,10,-10,-10,-10
2684,10,-10,-10,-10
2688,10,1,-10,1
2700,10,-10,-10,-10
2721,10,-10,-10,-10
2822,10,1,-10,1
2897,10,1,-10,1
2942,10,1,-10,1
2962,10,-10,-10,-10
3025,10,-1,-10,-1
3129,10,1,-10,1
3208,10,1,-10,1
3293,10,10,-10,10
3333,10,-10,-10,-10
3445,10,1,-10,1
3451,10,1,-10,1
3452,10,1,-10,1
3490,10,1,-10,1
3552,10,8,-10,8
3555,10,-10,-10,-10
3562,10,-10,-10,-10
3563,10,-10,-10,-10
3564,10,-10,-10,-10
3565,10,-10,-10,-10
3642,10,1,-10,1
3669,10,1,-10,1
3699,10,1,-10,1
3707,10,1,-10,1
3719,10,1,-10,1
3738,10,1,-10,1
3744,10,-10,-10,-10
3756,10,-10,-10,-10
3757,10,-10,-10,-10
3759,10,-10,-10,-10
3760,10,-10,-10,-10
3897,10,1,-10,1
4075,10,-10,-10,-10
4172,10,1,-10,1
4198,10,1,-10,1
4400,10,1,-10,1
4546,10,2,-10,2
4559,10,1,-10,1
4569,10,1,-10,1
4635,10,1,-10,1
4646,10,2,-10,2
4649,10,1,-10,1
4654,10,-10,-10,-10
4659,10,-10,-10,-10
4661,10,-10,-10,-10
4662,10,-10,-10,-10
4663,10,2,-10,2
4666,10,-10,-10,-10
4667,10,-10,-10,-10
4668,10,-10,-10,-10
4669,10,-10,-10,-10
4707,10,-10,-10,-10
4733,10,-10,-10,-10
4735,10,-10,-10,-10
4899,10,1,-10,1
4988,10,-10,-10,-10
5080,10,-10,-10,-10
5086,10,1,-10,1
5132,10,-10,-10,-10
5200,10,-10,-10,-10
5201,10,-10,-10,-10
5202,10,-10,-10,-10
5203,10,-10,-10,-10
5204,10,-10,-10,-10
5237,10,-10,-10,-10
5239,10,-10,-10,-10
5240,10,-10,-10,-10
5384,10,-10,-10,-10
5472,10,1,-10,1
5729,10,10,-10,10
